ST160Q01IA,ST160Q02IA,ST160Q03IA,ST160Q04IA,ST160Q05IA,PV1READ,PV2READ,PV3READ,PV4READ,PV5READ,PV6READ,PV7READ,PV8READ,PV9READ,PV10READ,ISCEDL
1,1,2,2,1,590.33,516.809,556.074,519.524,575.069,526.085,554.709,560.873,495.694,546.918,3
3,3,3,4,3,394.507,388.612,424.154,473.115,480.034,413.273,456.736,429.004,410.248,452.835,3
2,2,3,3,3,501.424,491.149,516.066,498.12,504.878,531.993,497.834,499.279,505.181,493.572,2
2,1,3,3,2,463.757,458.004,423.998,430.991,435.542,435.865,424.26,429.249,415.182,460.929,3
1,1,2,3,1,575.47,566.9,512.585,518.828,512.627,551.874,528.946,510.276,560.892,521.089,3
3,3,3,3,3,454.268,361.564,420.643,456.744,479.67,500.484,384.44,461.417,448.013,522.804,3
2,2,3,3,3,483.335,472.751,497.199,437.582,533.68,488.553,440.729,510.533,478.521,542.072,3
3,2,3,4,3,564.002,503.881,572.985,537.411,502.304,525.648,506.645,512.902,557.575,506.115,3
4,4,4,4,4,608.624,636.711,622.915,608.143,595.55,667.747,615.716,635.531,609.541,629.619,3
1,1,1,1,1,287.641,273.005,282.819,295.283,273.946,322.145,267.377,258.404,271.736,284.212,3
2,2,2,3,3,409.626,484.054,435.172,466.742,419.405,458.435,427.439,450.476,434.806,442.999,3
3,3,3,4,3,435.484,400.783,411.673,446.115,400.591,408.033,426.679,409.896,427.481,427.349,3
1,2,2,2,1,327.995,358.149,397.825,401.81,397.849,373.63,366.148,385.744,353.584,362.36,3
3,2,3,3,3,630.163,647.334,600.443,626.626,617.396,658.258,635.445,659.163,632.917,583.942,3
4,4,3,4,4,693.591,728.663,691.726,671.069,722.35,646.255,687.301,621.103,698.171,675.107,3
2,2,2,3,2,541.39,476.162,489.968,517.477,520.041,507.179,498.151,491.434,533.376,468.359,3
1,1,1,1,1,465.867,533.311,500.18,456.672,457.841,440.994,465.065,451.658,412.256,498.509,3
3,2,4,3,3,639.169,554.694,634.62,652.363,628.332,608.894,615.274,662.205,576.124,610.194,3
3,3,3,4,4,774.944,689.092,632.451,682.941,672.876,735.673,673.693,693.607,635.364,619.275,3
4,4,2,4,4,607.722,668.641,604.589,648.709,617.483,617.2,597.319,642.014,696.5,660.645,3
4,4,4,4,4,548.616,597.243,529.954,581.439,589.192,559.304,526.611,577.204,549.896,627.134,3
1,1,1,4,4,350.353,349.556,385.061,407.361,407.783,338.95,365.581,409.615,395.245,425.934,3
3,2,3,2,2,368.753,377.167,412.289,401.608,411.215,426.96,418.635,391.924,394.028,408.652,3
3,3,1,4,3,745.617,749.527,684.316,757.61,780.003,643.263,677.922,752.722,689.3,713.722,3
2,2,2,2,1,478.53,428.941,463.506,483.908,484.536,484.802,416.769,435.942,391.854,437.854,3
4,3,3,4,3,390.764,407.893,377.358,366.218,427.385,391.005,435.17,377.705,395.827,407.959,2
2,2,1,3,2,602.006,591.39,613.66,595.03,545.774,580.686,592.894,543.426,549.164,567.146,3
3,1,2,3,2,487.69,557.127,519.619,514.942,524.624,457.172,532.944,523.181,483.67,473.774,3
1,2,2,3,2,447.867,439.414,414.715,401.451,397.635,420.898,396.092,391.009,442.438,422.238,3
2,3,3,2,2,451.385,504.005,497.238,464.879,491.769,454.848,491.263,487.351,477.817,505.145,3
1,4,4,1,1,340.74,346.858,384.735,348.981,347.02,371.198,373.036,349.438,348.798,346.809,2
1,1,1,3,2,315.243,277.634,296.392,298.537,272.516,265.994,339.1,311.446,289.016,288.639,3
1,2,2,2,2,381.238,379.412,380.914,385.194,442.466,371.565,391.108,360.099,429.678,400.423,2
3,2,3,3,3,449.221,425.994,421.979,439.661,436.537,417.789,480.1,445.109,448.159,444.344,3
2,2,2,3,2,393.761,433.284,475.422,440.521,399.819,387.827,443.378,471.434,443.137,420.5,2
4,4,2,4,4,648.591,660.375,596.153,652.433,623.004,638.855,591.654,598.847,614.388,604.657,3
2,2,2,3,2,529.203,536.963,527.349,477.497,541.672,500.171,513.074,506.906,504.815,512.762,3
2,3,2,3,2,422.985,458.681,466.203,443.411,455.606,427.701,480.981,449.465,432.563,458.814,3
3,1,2,4,2,572.895,603.929,541.794,596.195,583.018,577.304,608.653,658.035,621.567,573.458,3
1,2,1,2,1,412.031,407.066,379.103,343.249,347.683,381.55,369.407,353.468,426.988,406.296,2
3,3,3,3,3,499.009,544.771,575.553,563.013,520.985,541.754,547.218,533.835,537.279,541.888,3
2,3,2,1,1,258.187,284.432,293.934,302.809,295.963,290.081,333.785,288.937,363.85,314.277,2
2,2,2,2,2,412.656,423.681,451.738,422.67,389.279,418.146,432.862,399.258,394.817,442.217,3
2,2,3,3,2,669.297,625.047,639.731,678.693,684.009,635.715,633.364,694.258,690.215,739.577,3
4,3,3,4,1,387.471,380.48,431.609,391.526,426.502,397.224,395.288,425.505,383.681,423.732,2
2,2,2,3,2,563.777,560.839,569.32,605.669,565.792,569.042,588.163,574.473,582.613,548.607,3
2,3,2,3,3,339.555,301.349,337.923,329.131,337.411,330.862,285.846,327.752,348.007,359.203,3
4,3,3,4,3,526.742,515.128,598.73,559.375,567.233,565.545,537.797,567.651,557.077,517.582,3
2,1,1,1,1,343,327.315,348.318,346.902,367.097,342.519,386.963,354.897,353.69,349.608,2
3,1,3,3,3,466.27,468.968,464.598,478.583,456.823,475.809,475.364,465.771,423.174,527.398,3
2,3,3,2,2,274.268,246.927,272.358,267.118,286.809,249.668,267.92,294.067,308.541,287.148,3
2,2,2,3,2,311.922,320.581,328.716,338.131,407.031,342.582,329.651,376.966,334.023,299.117,3
3,2,3,3,3,455.285,505.744,476.898,472.036,452.13,477.589,538.57,494.79,435.646,458.131,3
1,2, ,3,2,397.192,315.843,393.813,335.916,328.961,331.94,371.85,343.553,421.517,442.897,2
3,3,3,4,4,430.798,451.824,506.271,453.778,444.99,445.949,455.706,464.209,456.155,443.305,3
3,3,4,4,3,518.145,567.491,590.454,580.119,510.815,567.892,540.836,501.737,510.632,556.159,2
3,4,3,4,4,707.746,649.069,668.811,656.994,651.708,635.349,702.808,681.533,684.998,654.279,3
2,2,4,1,2,229.741,269.125,192.087,223.988,292.048,245.713,311.223,287.706,215.773,246.272,3
4,4,2,4,3,563.478,568.392,529.712,556.404,581.981,583.493,588.631,536.546,585.584,517.796,3
3,3,2,3,2,370.153,374.28,375.075,362.625,375.666,358.335,379.38,321.181,331.069,368.857,3
3,3,3,3,3,581.546,531.932,466.663,506.266,534.419,475.933,496.119,566.487,576.239,541.432,3
1,1,1,2,1,426.544,413.076,451.718,417.134,430.689,480.505,423.289,451.021,445.14,476.11,3
1,1,1,2,1,431.279,458.987,451.766,472.167,447.015,487.428,512.361,516.913,456.272,493.773,3
3,4,1,3,1,335.206,341.643,342.643,366.503,343.28,359.111,294.392,343.872,332.932,352.553,2
4,4,3,4,4,403.856,394.438,421.522,388.894,363.406,377.533,414.37,386.691,398.586,386.153,3
2,1,1,2,2,594.517,556.802,571.202,587.648,519.943,617.171,566.967,555.452,577.515,581.205,3
4,3,4,4,4,616.155,674.926,615.055,661.821,608.256,608.943,666.047,681.545,680.37,671.541,3
3,3,2,1,3,387.159,411.947,407.039,422.759,461.893,435.962,411.041,407.865,398.1,450.964,3
1,1,1,2,1,459.053,490.441,503.36,490.785,488.789,478.245,536.278,536.648,456.439,448.225,3
1,2,3,2,1,542.323,543.654,553.797,503.103,514.669,538.095,540.01,559.362,582.979,529.134,3
3,1,1,3,2,445.531,467.994,417.926,402.408,462.863,473.735,457.326,493.54,405.281,452.974,3
2,2,3,4,2,570.794,565.912,615.097,605.154,563.345,647.107,594.209,588.253,627.394,627.345,3
3,3,3,4,4,461.105,452.957,470.65,476.861,474.001,449.154,467.956,479.63,453.554,429.704,3
2,2,2,3,2,454.262,454.806,495.109,473.745,431.728,428.834,410.707,440.318,487.713,472.041,3
3,3,3,4,3,478.851,479.767,459.732,457.69,457.283,456.683,488.717,452.59,452.368,443.093,3
3,2,3,3,3,475.959,437.945,474.067,467.522,493.772,475.249,450.385,492.793,489.34,499.873,3
1,3,3,4,4,300.907,326.308,275.285,332.718,278.516,321.96,343.239,299.283,283.35,239.57,3
2,1,2,2,2,451.424,487.293,484.83,451.41,462.251,441.52,436.632,459.714,440.337,460.017,3
2,1,1,2,2,346.552,355.158,336.805,364.317,349.081,333.112,322.992,331.677,314.593,381.64,2
3,2,3,3,3,515.68,576.432,529.556,552.856,571.461,600.698,593.972,549.068,536.532,476.127,3
2,2,2,2,2,465.968,415.654,467.035,425.56,474.438,418.16,404.278,461.328,420.121,401.105,3
2,2,2,4,3,170.448,249.027,220.189,217.284,243.452,242.687,158.442,259.81,280.747,189.525,3
